# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Sep 28 18:08:25 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_pnum:        Number of Planets
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
pl_name,sy_pnum,rastr,ra,decstr,dec
11 Com b,1,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516
11 Com b,1,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516
11 Com b,1,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516
11 UMi b,1,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428
11 UMi b,1,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428
11 UMi b,1,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428
14 And b,1,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367
14 And b,1,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367
14 And b,1,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
14 Her b,2,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
16 Cyg B b,1,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243
17 Sco b,1,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905
18 Del b,1,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378
18 Del b,1,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378
18 Del b,1,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378
1RXS J160929.1-210524 b,1,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403
1RXS J160929.1-210524 b,1,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403
1RXS J160929.1-210524 b,1,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403
1RXS J160929.1-210524 b,1,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403
24 Boo b,1,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488
24 Boo b,1,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488
24 Sex b,2,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998
24 Sex c,2,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998
2M0437 b,1,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997
2MASS J01033563-5515561 AB b,1,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291
2MASS J01225093-2439505 b,1,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128
2MASS J01225093-2439505 b,1,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128
2MASS J02192210-3925225 b,1,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767
2MASS J0249-0557 c,1,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921
2MASS J03590986+2009361 b,1,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759
2MASS J04414489+2301513 b,1,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544
2MASS J11011926-7732383 b,1,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912
2MASS J11550485-7919108 b,1,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558
2MASS J12073346-3932539 b,1,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399
2MASS J12073346-3932539 b,1,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399
2MASS J19383260+4603591 b,3,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076
2MASS J19383260+4603591 b,3,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076
2MASS J21252752-8138278 b,1,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894
2MASS J22362452+4751425 b,1,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830
30 Ari B b,1,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103
30 Ari B b,1,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103
30 Ari B b,1,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103
4 UMa b,1,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504
4 UMa b,1,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504
42 Dra b,1,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652
47 UMa b,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa b,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa b,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa b,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa b,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa c,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa c,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa c,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa d,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
47 UMa d,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931
51 Eri b,1,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245
51 Eri b,1,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245
51 Eri b,1,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245
51 Peg b,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
51 Peg b,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
51 Peg b,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
51 Peg b,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
51 Peg b,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc b,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc c,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc d,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc d,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc d,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
55 Cnc d,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154
