# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 06:09:06 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,st_teff,st_mass,st_lum,ra,dec,sy_dist,sy_bmag,sy_vmag
11 Com,,,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,4874.00,2.09,1.978,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,,2.60,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,4830.00,2.04,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com B,4415.00,0.69,-0.874,185.1807118,17.7951762,100.1580000,,12.6170000
11 Com,4755.00,,2.133,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,4742.00,2.70,2.243,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,4705.00,,2.039,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com,4675.18,,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 UMi,,1.70,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,4340.00,1.80,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,,,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,4248.70,,2.430,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,4263.77,,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,4255.00,1.43,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi,4213.00,2.78,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
14 And,,1.20,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4826.00,1.10,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4740.00,,1.752,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4888.00,1.78,1.840,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4813.00,2.20,1.763,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,,,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,,,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4709.00,1.17,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And,4689.46,,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 Her,,0.90,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5282.00,,-0.151,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,1.07,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5280.00,0.91,-0.153,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5338.00,0.90,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5388.00,1.07,-0.155,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5518.00,0.91,-0.204,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5314.94,0.97,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5311.00,0.90,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,1.00,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,0.91,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5255.00,0.90,-0.150,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5255.00,0.90,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,5418.00,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
16 Cyg B,5765.00,0.99,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5674.00,0.96,0.143,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,5760.00,1.00,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,5777.25,,0.100,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
