# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 05:46:58 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,pl_masse,pl_eqt,pl_orbincl,st_teff,st_lum,st_vsin,ra,dec,sy_dist,sy_bmag,sy_vmag
11 Com b,,,,,,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com b,,,,4742.00,2.243,1.2000,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 Com b,,,,4874.00,1.978,,185.1787793,17.7932516,93.1846000,5.7260000,4.7230700
11 UMi b,,,,4213.00,,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi b,,,,,,,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
11 UMi b,,,,4340.00,,1.5000,229.2745954,71.8239428,125.3210000,6.3820000,5.0130000
14 And b,,,,4888.00,1.840,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And b,,,,,,,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 And b,,,,4813.00,1.763,2.6000,352.8241500,39.2358367,75.4392000,6.2560000,5.2313300
14 Her b,,,,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,5280.00,-0.153,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,2559.47216,,144.652,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,5338.00,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,5255.00,-0.150,1.0000,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,5314.94,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
14 Her b,,,,,,,242.6021014,43.8163621,17.9323000,7.4950000,6.6193500
16 Cyg B b,,,,5711.97,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B b,,,,5674.00,,2.1800,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B b,,,,5760.00,,2.7000,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B b,,,,5747.00,0.097,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B b,,,,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
